IdLocalSap;CodigoMaterial;Departamento;Ean13;DigitoVerificador;Jerarquia;Pesable;Fraccionable;UnidadMedida;DescripcionCorta;DescripcionLarga;PrecioFlejes;ImportePPUMS;Impuesto;IdMarca;TipoBarra ;UnidadMedidaFlejes;TimeStampActualizacion
J512;994301;10;780221510141;0;100301001;0;0;UN;CHOC COSTMINT100GR;CHOCOLATE COSTAMINT 100 GR;1199;11990;1;1212;HE;KG;2018-07-25T17:23:23
J512;994302;10;750176182090;4;100211002;0;0;UN;GALL AVENPASAS50GR;*GALLETA QUAKER AVENA PASAS 50GR;239;4780;1;4293;HE;KG;2018-07-25T17:17:39
J512;994303;10;750176182091;1;100211002;0;0;UN;GALL AVENGRAN50GR;*GALLETA QUAKER AVENA GRANOLA 50GR;239;4780;1;4293;HE;KG;2018-07-25T17:17:39
J512;994304;10;750176182884;9;100211002;0;0;UN;GALL MANZCAN50GR;*GALLETA QUAKER AVENA MANZ CANELA 50GR;239;4780;1;4293;HE;KG;2018-07-25T17:17:39
J512;994305;10;779058060470;7;100701002;0;0;UN;GOMITAS FRUT150GR;GOMITAS FRUTIDIENTES 150GR;499;3326,67;1;1555;HE;KG;2018-07-25T17:17:39
J512;994305;10;779058025960;0;100701002;0;0;UN;GOMITAS FRUT150GR;GOMITAS FRUTIDIENTES 150GR;499;3326,67;1;1555;HE;KG;2018-07-25T17:17:39
J512;994306;10;780222563601;8;100211002;0;0;UN;GALLMANZLIGHT40GR;*GALLETA CEREAL MIX MANZANA LIGHT 40GR;149;3725;1;1555;HE;KG;2018-07-25T17:23:23
J512;994307;10;780222563602;5;100211002;0;0;UN;GALLBERLIGHT40GR;*GALLETA CEREAL MIX BERRIE LIGHT 40GR;149;3725;1;1555;HE;KG;2018-07-25T17:23:23
J512;994308;10;780222568267;1;100106001;0;0;UN;SELZ CHIPCLAS125GR;SELZ CHIPS CLAS 125GR;599;4607,69;1;4717;HE;KG;2018-07-25T17:23:23
J512;994309;10;780222568270;1;100106001;0;0;UN;SELZ CHIPQUE125GR;SELZ CHIPS QUESO 125GR;599;4607,69;1;4717;HE;KG;2018-07-25T17:23:23
J512;994310;10;780222564070;1;100207001;0;0;UN;GALL SAPITO 126GR;*GALLETA SAPITO 126GR;599;4607,69;1;1555;HE;KG;2018-07-25T17:23:23
J512;994315;10;780350011151;0;100208002;0;0;UN;GALL NAR 200GR;*GALLETONES MINIBREAK NARANJA 200GR;1959;9795;1;3764;HE;KG;2018-07-25T17:52:34
J512;994320;7;780460937005;1;72310001;0;0;UN;MOUSSE ALC MER;*MOUSSE ALCACHOFAS ALBAHACA/MERKEN;2049;2049;1;6818;HE;KG;2018-07-25T17:52:34
J512;994333;38;209000028104;0;380504003;0;0;UN;ARENA SANITA SIL;ARENA SANITARIA SIL GEL 1.8 KG;3490;1938,89;1;5739;IE;KG;2018-07-25T16:38:47
J512;994350;27;780581027521;0;270803006;0;0;UN;PTY VANESS T2 C;*PANTY VANESSA T2 CAFE MORO;1490;1490;1;5754;HE;  ;2018-07-25T17:52:34
J512;994351;27;780581027522;7;270803010;0;0;UN;PTY VANESS T2 G;*PANTY VANESSA T2 GRIS OSCURO;1490;1490;1;5754;HE;  ;2018-07-25T17:52:34
J512;994364;5;2494119;8;51207001;1;1;KG;FILETE NAC KG;*FILETE WAGYU ORGANICO NAC-U KG;99999;0;12;7494;BC;  ;2018-07-25T17:52:34
